No,supplier,barcode,name,quantity,cost,price,alert_quantity,batch_number
611,NEW FASHION,1002293,NEW FASHION G010 BL - 617,1,"1,975.00","3,499.00",1,19032024
612,NEW FASHION,1002296,NEW FASHION 1544 BG - 620,1,800.00,"1,899.00",1,19032024
613,NEW FASHION,1002297,NEW FASHION 1544 BL - 621,1,800.00,"1,899.00",1,19032024
614,NEW FASHION,1002298,NEW FASHION 1543 GRN - 622,1,800.00,"1,899.00",1,21032024
615,BELT NANA CO,1002299,AUTO LOCK GENTS BELT,3,525.00,"1,399.00",0,21032024
616,BELT NANA CO,1002300,PRSS LOCK GENTS BELT,3,465.00,"1,299.00",0,21032024
617,BELT NANA CO,1002301,CASUAL  GENTS BELT,3,550.00,"1,499.00",0,21032024
618,BELT NANA CO,1002302,GENUINE LEATHER BELTS XXL,3,"1,700.00","2,999.00",0,21032024
619,BELT NANA CO,1002303,CASUAL GENUINE LEATHER BELTS,13,"2,200.00","3,699.00",0,21032024
620,BELT NANA CO,1002304, GENUINE LEATHER BELTS -006,27,"1,600.00","2,999.00",0,21032024
621,BELT NANA CO,1002305, GENUINE WALLETS PO LEATHER -27,10,"1,450.00","2,699.00",0,21032024
622,BELT NANA CO,1002306,MONT BLANC WALLETS PO LEATHER ,11,"1,600.00","2,949.00",1,21032024
623,BELT NANA CO,1002307,LACOSTE WALLETS PO LEATHER ,5,"1,600.00","2,949.00",0,21032024
624,BELT NANA CO,1002308,GENUINE WALLETS  ALVIV -8,5,750.00,"1,699.00",0,21032024
625,BELT NANA CO,1002309,GENUINE WALLETS  CARD -5,2,700.00,"1,699.00",0,21032024
626,BELT NANA CO,1002310,CARD GENUINE WALLETS  ,13,700.00,"1,499.00",0,21032024
628,BELT NANA CO,1002312,BOYS BELTS-18,1,375.00,899.00,1,21032024
629,BELT NANA CO,1002313,BOYS BELTS-19,3,400.00,999.00,1,21032024
630,KAPPER KKY,1002318,BIG BOOS BOYS BATA,5,400.00,899.00,0,21102024
631,SILVER SHIELD - SOCKS,1002329,FASHION GIRLC COCKS  - 1-3,30,350.00,549.00,0,26102024
632,SILVER SHIELD - SOCKS,1002330,FASHION GIRLC COCKS  - 0-1,36,350.00,549.00,0,26102024
633,SILVER SHIELD - SOCKS,1002331, MEN S FASHION  SOCKS,15,300.00,599.00,0,26102024
634,MIRSHATH AB KKY,1002342,AB WALK BV1003-1125-BU,2,"1,125.00","1,899.00",0,25102024
635,MIRSHATH AB KKY,1002343,AB WALK BV1003-1125-TN,4,"1,125.00","1,899.00",0,25102024
636,ASMATHUIIA,1002344, INDYIN BOYS SANDALS ,3,"1,650.00","2,699.00",0,25102024
637,ASMATHUIIA,1002345,NIDYIN KIDS SANDALS - B RO,2,"1,450.00","2,499.00",0,25102024
638,ASMATHUIIA,1002346,NIDYIN KIDS SANDALS - PK,2,"1,450.00","2,499.00",0,25102024
639,ASMATHUIIA,1002347,NIDYIN KIDS SANDALS - GY,1,"1,450.00","2,499.00",0,25102024
640,ASMATHUIIA,1002348,NIDYIN KIDS SANDALS - L BU,1,"1,450.00","2,499.00",0,25102024
641,ASMATHUIIA,1002349,NIDYIN KIDS SHOE - RD,2,"1,800.00","2,899.00",0,25102024
642,ASMATHUIIA,1002352,NIDYIN KIDS SHOE - GY,1,"1,800.00","2,899.00",0,25102024
643,ASMATHUIIA,1002353,INDIAN PARTY SANDALS -L BU,1,"1,900.00","2,999.00",0,25102024
644,ASMATHUIIA,1002354,INDIAN PARTY SANDALS - O WT,1,"1,900.00","2,999.00",0,25102024
645,ASMATHUIIA,1002355,INDIAN KIDS LIGHT SHOE,3,"1,950.00","3,499.00",0,25102024
646,ASMATHUIIA,1002356,INDIAN KIDS BOOTS - MR,1,"1,800.00","3,299.00",0,25102024
647,ASMATHUIIA,1002357,INDIAN KIDS BOOTS - BR,1,"1,800.00","3,299.00",0,25102024
648,ASMATHUIIA,1002358,INDIAN KIDS BOOTS - BL,1,"1,800.00","3,299.00",0,25102024
649,ASMATHUIIA,1002360,INDIAN KIDS BOOTS - TN,1,"1,800.00","3,299.00",0,25102024
651,ASMATHUIIA,1002368,WALKAROO WG 5096 - BL,3,"2,100.00","3,399.00",0,25102024
